V1,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_8,pop_9,sbank_1,sbank_2,sbank_3,sbank_4,sbank_5,sbank_6,sbank_7,sbank_8,sbank_9,actions,rewards
1,0,9448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-19
2,0,924,0,0,0,0,6,0,0,1616,94797,1364,307,1372,255,1,5,0,10,-19
3,56,3835,51,17,60,10,0,0,0,1190,70519,1014,235,1030,187,1,4,0,0,-10
4,70,5545,68,29,99,17,0,6,0,964,57226,804,195,845,157,1,4,1,10,-19
5,40,2769,39,14,53,8,6,0,0,834,50262,736,167,736,132,1,3,1,10,-19
6,34,2260,34,13,42,7,0,0,0,559,33103,479,107,485,87,1,1,1,10,-19
7,27,1535,24,9,30,6,0,6,0,356,21143,302,70,310,58,1,1,1,10,-19
8,18,992,16,7,22,6,0,6,0,229,13563,197,44,197,37,1,1,1,0,-10
9,23,1223,21,14,29,12,0,6,0,244,14731,218,48,215,40,1,1,1,10,-19
10,12,694,11,6,15,6,0,0,0,217,12637,183,45,176,34,1,1,1,10,-19
11,10,571,9,6,10,6,6,0,0,135,7970,118,27,112,21,1,1,1,0,-10
12,14,718,12,12,17,6,6,0,0,123,7359,103,27,108,22,1,1,1,10,-19
13,8,361,6,6,9,6,0,0,0,120,7007,96,23,104,22,1,1,1,0,-0
14,14,533,12,12,17,6,0,0,0,135,8189,120,25,122,24,1,1,1,0,-10
15,19,675,17,17,23,11,0,0,0,261,16480,246,60,245,43,1,1,1,10,-19
16,12,715,13,7,15,6,0,0,0,192,12261,186,45,181,32,1,1,1,0,-10
17,16,994,18,14,24,12,0,0,0,176,11215,168,35,176,27,1,1,1,0,-10
18,20,1078,20,18,26,17,0,0,6,484,27922,418,1542,1180,69,24,19,3,0,-10
19,35,1828,33,87,75,22,6,6,6,847,50003,710,2468,1974,140,34,24,1,0,-10
20,56,3260,52,193,154,29,12,12,5,1281,75188,1305,3018,3343,235,45,32,2,0,-10
21,87,5215,89,295,268,40,17,17,11,2342,118813,2052,13567,6952,955,212,99,17,10,-19
22,86,5188,83,613,325,29,11,8,0,1729,87827,1485,12201,5072,621,197,73,12,0,-20
23,107,7124,104,1130,493,36,18,12,0,1617,81773,1296,14359,4950,474,225,78,9,10,-29
24,65,3883,57,740,263,19,10,6,0,1486,69972,1094,21342,4850,353,315,84,10,10,-29
25,55,3146,44,1022,240,14,12,8,0,999,45852,709,16636,2920,221,251,55,6,0,-20
26,66,3994,58,1692,322,18,21,12,0,1137,44448,678,26946,3614,215,408,86,9,0,-20
27,81,4268,62,2385,375,21,32,19,0,4254,116010,1900,165709,14255,519,2402,479,19,10,-29
28,153,4975,78,7375,649,17,82,20,6,3329,87700,1384,132969,11205,403,1942,392,19,0,-30
29,192,6993,99,12993,1027,26,121,28,12,3292,78378,1169,140079,10631,349,2064,392,15,10,-39
30,126,3737,53,7404,559,14,83,17,0,4561,67717,1004,243513,12192,318,3515,625,12,10,-39
31,163,3046,42,11437,590,14,127,26,0,3308,44652,669,183481,8372,212,2669,463,7,0,-30
32,194,3877,52,18861,847,18,174,37,0,4694,43413,624,278587,10205,225,4537,655,9,10,-39
33,173,2070,33,13941,525,10,166,28,0,6375,38724,559,412547,12213,215,6864,924,11,0,-30
