idstate,idaction,qvalue
0,0,990.274929423293
0,1,991.3351952489993
1,0,981.0707099589972
1,1,979.519902482977
2,0,989.4443204698287
2,1,989.9760092504083
3,0,986.4194135516086
3,1,987.2680699453042
4,0,989.3791304763146
4,1,988.4084696690779
5,0,977.5127754770496
5,1,975.3438353635536
6,0,979.0172476245535
6,1,983.5160401287194
7,0,990.6935474478776
7,1,990.738671834736
8,0,990.2101499049471
8,1,986.237638189941
9,0,987.0052965237796
9,1,987.047443488225
10,0,974.3990653467042
10,1,974.8257681227303
11,0,987.6803895286507
11,1,988.9492826308372
12,0,995.0726232356599
12,1,996.8813248270305
13,0,987.7020801264377
13,1,989.7026838535012
14,0,985.6612178511374
14,1,986.4644484355706
15,0,977.1078092989294
15,1,977.0274552566311
16,0,983.9278816817465
16,1,981.9606820222527
17,0,980.4058784843728
17,1,973.4669967441378
18,0,971.3852388707868
18,1,972.4070391793452
19,0,996.8243711420148
19,1,997.789227742719
20,0,982.347527456651
20,1,966.05108087461
21,0,990.7367466116116
21,1,989.1257851179532
22,0,986.7589876160073
22,1,985.2267792884709
23,0,985.4923335946042
23,1,984.719760515538
24,0,984.4825729321276
24,1,984.0516040041823
25,0,975.6501406237502
25,1,978.4162186992203
26,0,988.4417369774903
26,1,985.636651882719
27,0,976.9274886349492
27,1,978.1698827289899
28,0,992.1789663000372
28,1,992.5400872060181
29,0,985.3507059214785
29,1,984.0636614141451
30,0,984.74124524125
30,1,986.8729246952563
31,0,966.3355924703386
31,1,965.5900345361238
32,0,988.3717725472887
32,1,988.1610723238965
33,0,988.505329598113
33,1,987.0926531545465
34,0,985.2929114668442
34,1,983.8647053528804
35,0,984.9085177551899
35,1,987.8889764887737
36,0,971.3430729417322
36,1,997.0216291886667
37,0,968.2766014311563
37,1,967.4953172986122
38,0,980.993282347998
38,1,984.0538209433486
39,0,984.915885366185
39,1,982.9548411153692
40,0,981.5060396823317
40,1,984.3808520693625
41,0,985.9144537367393
41,1,981.7078631764073
42,0,991.2469416950274
42,1,992.3885554695959
43,0,981.9339866657565
43,1,983.9693627793106
44,0,982.8749164864063
44,1,982.0457127495845
