,V1,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_8,pop_9,sbank_1,sbank_2,sbank_3,sbank_4,sbank_5,sbank_6,sbank_7,sbank_8,sbank_9,actions,rewards,policy
0,1,0,9448.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,-19,0.0
1,2,0,924.0,0.0,0.0,0.0,0.0,6.0,0.0,0,1616.0,94797.0,1364.0,307.0,1372.0,255.0,1.0,5.0,0.0,10,-19,1.0
2,3,56,3835.0,51.0,17.0,60.0,10.0,0.0,0.0,0,1190.0,70519.0,1014.0,235.0,1030.0,187.0,1.0,4.0,0.0,0,-10,0.0
3,4,70,5545.0,68.0,29.0,99.0,17.0,0.0,6.0,0,964.0,57226.0,804.0,195.0,845.0,157.0,1.0,4.0,1.0,10,-19,0.0
4,5,40,2769.0,39.0,14.0,53.0,8.0,6.0,0.0,0,834.0,50262.0,736.0,167.0,736.0,132.0,1.0,3.0,1.0,10,-19,0.0
5,6,34,2260.0,34.0,13.0,42.0,7.0,0.0,0.0,0,559.0,33103.0,479.0,107.0,485.0,87.0,1.0,1.0,1.0,10,-19,0.0
6,7,27,1535.0,24.0,9.0,30.0,6.0,0.0,6.0,0,356.0,21143.0,302.0,70.0,310.0,58.0,1.0,1.0,1.0,10,-19,0.0
7,8,18,992.0,16.0,7.0,22.0,6.0,0.0,6.0,0,229.0,13563.0,197.0,44.0,197.0,37.0,1.0,1.0,1.0,0,-10,0.0
8,9,23,1223.0,21.0,14.0,29.0,12.0,0.0,6.0,0,244.0,14731.0,218.0,48.0,215.0,40.0,1.0,1.0,1.0,10,-19,0.0
9,10,12,694.0,11.0,6.0,15.0,6.0,0.0,0.0,0,217.0,12637.0,183.0,45.0,176.0,34.0,1.0,1.0,1.0,10,-19,0.0
10,11,10,571.0,9.0,6.0,10.0,6.0,6.0,0.0,0,135.0,7970.0,118.0,27.0,112.0,21.0,1.0,1.0,1.0,0,-10,0.0
11,12,14,718.0,12.0,12.0,17.0,6.0,6.0,0.0,0,123.0,7359.0,103.0,27.0,108.0,22.0,1.0,1.0,1.0,10,-19,0.0
12,13,8,361.0,6.0,6.0,9.0,6.0,0.0,0.0,0,120.0,7007.0,96.0,23.0,104.0,22.0,1.0,1.0,1.0,0,0,0.0
13,14,14,533.0,12.0,12.0,17.0,6.0,0.0,0.0,0,135.0,8189.0,120.0,25.0,122.0,24.0,1.0,1.0,1.0,0,-10,0.0
14,15,19,675.0,17.0,17.0,23.0,11.0,0.0,0.0,0,261.0,16480.0,246.0,60.0,245.0,43.0,1.0,1.0,1.0,10,-19,0.0
15,16,12,715.0,13.0,7.0,15.0,6.0,0.0,0.0,0,192.0,12261.0,186.0,45.0,181.0,32.0,1.0,1.0,1.0,0,-10,0.0
16,17,16,994.0,18.0,14.0,24.0,12.0,0.0,0.0,0,176.0,11215.0,168.0,35.0,176.0,27.0,1.0,1.0,1.0,0,-10,0.0
17,18,20,1078.0,20.0,18.0,26.0,17.0,0.0,0.0,6,484.0,27922.0,418.0,1542.0,1180.0,69.0,24.0,19.0,3.0,0,-10,0.0
18,19,35,1828.0,33.0,87.0,75.0,22.0,6.0,6.0,6,847.0,50003.0,710.0,2468.0,1974.0,140.0,34.0,24.0,1.0,0,-10,0.0
19,20,56,3260.0,52.0,193.0,154.0,29.0,12.0,12.0,5,1281.0,75188.0,1305.0,3018.0,3343.0,235.0,45.0,32.0,2.0,0,-10,0.0
20,21,87,5215.0,89.0,295.0,268.0,40.0,17.0,17.0,11,2342.0,118813.0,2052.0,13567.0,6952.0,955.0,212.0,99.0,17.0,10,-19,0.0
21,22,86,5188.0,83.0,613.0,325.0,29.0,11.0,8.0,0,1729.0,87827.0,1485.0,12201.0,5072.0,621.0,197.0,73.0,12.0,0,-20,0.0
22,23,107,7124.0,104.0,1130.0,493.0,36.0,18.0,12.0,0,1617.0,81773.0,1296.0,14359.0,4950.0,474.0,225.0,78.0,9.0,10,-29,0.0
23,24,65,3883.0,57.0,740.0,263.0,19.0,10.0,6.0,0,1486.0,69972.0,1094.0,21342.0,4850.0,353.0,315.0,84.0,10.0,10,-29,0.0
24,25,55,3146.0,44.0,1022.0,240.0,14.0,12.0,8.0,0,999.0,45852.0,709.0,16636.0,2920.0,221.0,251.0,55.0,6.0,0,-20,0.0
25,26,66,3994.0,58.0,1692.0,322.0,18.0,21.0,12.0,0,1137.0,44448.0,678.0,26946.0,3614.0,215.0,408.0,86.0,9.0,0,-20,0.0
26,27,81,4268.0,62.0,2385.0,375.0,21.0,32.0,19.0,0,4254.0,116010.0,1900.0,165709.0,14255.0,519.0,2402.0,479.0,19.0,10,-29,0.0
27,28,153,4975.0,78.0,7375.0,649.0,17.0,82.0,20.0,6,3329.0,87700.0,1384.0,132969.0,11205.0,403.0,1942.0,392.0,19.0,0,-30,0.0
28,29,192,6993.0,99.0,12993.0,1027.0,26.0,121.0,28.0,12,3292.0,78378.0,1169.0,140079.0,10631.0,349.0,2064.0,392.0,15.0,10,-39,0.0
29,30,126,3737.0,53.0,7404.0,559.0,14.0,83.0,17.0,0,4561.0,67717.0,1004.0,243513.0,12192.0,318.0,3515.0,625.0,12.0,10,-39,0.0
30,31,163,3046.0,42.0,11437.0,590.0,14.0,127.0,26.0,0,3308.0,44652.0,669.0,183481.0,8372.0,212.0,2669.0,463.0,7.0,0,-30,0.0
31,32,194,3877.0,52.0,18861.0,847.0,18.0,174.0,37.0,0,4694.0,43413.0,624.0,278587.0,10205.0,225.0,4537.0,655.0,9.0,10,-39,0.0
32,33,173,2070.0,33.0,13941.0,525.0,10.0,166.0,28.0,0,6375.0,38724.0,559.0,412547.0,12213.0,215.0,6864.0,924.0,11.0,0,-30,0.0
33,34,301,2982.0,46.0,30939.0,951.0,17.0,337.0,54.0,6,9829.0,43354.0,618.0,661090.0,17751.0,255.0,10747.0,1538.0,17.0,0,-30,0.0
34,35,490,3639.0,55.0,53169.0,1453.0,22.0,567.0,90.0,6,36770.0,95008.0,1318.0,2529638.0,58236.0,672.0,40599.0,6075.0,48.0,10,-49,0.0
35,36,1257,4091.0,54.0,114554.0,2631.0,21.0,1369.0,228.0,6,31337.0,72226.0,1011.0,2162745.0,48329.0,522.0,34847.0,5057.0,38.0,10,-59,0.0
36,37,1133,3264.0,43.0,109233.0,2385.0,20.0,1263.0,201.0,6,20958.0,45523.0,630.0,1444476.0,31741.0,334.0,22944.0,3375.0,25.0,0,-50,0.0
37,38,1268,4057.0,53.0,135038.0,3300.0,27.0,1575.0,235.0,12,48285.0,50052.0,667.0,3379465.0,64459.0,528.0,53073.0,7826.0,51.0,10,-59,0.0
38,39,1700,2343.0,32.0,157478.0,3068.0,18.0,1863.0,300.0,6,38989.0,44453.0,598.0,2704263.0,60038.0,536.0,44306.0,6615.0,60.0,0,-50,0.0
39,40,2148,3400.0,46.0,221750.0,5113.0,31.0,2681.0,410.0,12,52601.0,51167.0,654.0,3657454.0,80603.0,698.0,60657.0,8825.0,91.0,0,-50,0.0
40,41,2890,4210.0,55.0,261857.0,7050.0,43.0,3634.0,549.0,17,104638.0,114785.0,1594.0,7160468.0,227102.0,2844.0,135734.0,19850.0,302.0,0,-60,0.0
41,42,5041,7379.0,99.0,444041.0,14867.0,106.0,6768.0,1040.0,28,137261.0,198820.0,3085.0,9196239.0,405365.0,5391.0,198660.0,29248.0,582.0,10,-69,0.0
42,43,4945,8553.0,120.0,439917.0,18920.0,149.0,7089.0,1137.0,21,91355.0,143100.0,2225.0,6071386.0,293735.0,3827.0,136349.0,19992.0,425.0,10,-69,0.0
43,44,3403,6510.0,91.0,310739.0,14816.0,113.0,5120.0,813.0,20,63503.0,90463.0,1395.0,4257679.0,193544.0,2429.0,92418.0,13753.0,272.0,10,-69,0.0
44,45,2362,4215.0,59.0,220551.0,9997.0,76.0,3492.0,564.0,14,47482.0,59518.0,905.0,3212987.0,136742.0,1651.0,66917.0,10087.0,195.0,0,-60,0.0
45,46,2774,5249.0,69.0,270461.0,13855.0,94.0,4459.0,679.0,21,99177.0,73966.0,1050.0,6907656.0,223256.0,2834.0,123947.0,18416.0,266.0,0,-60,0.0
46,47,4775,6223.0,82.0,421082.0,19023.0,133.0,6781.0,1046.0,27,133822.0,179290.0,3041.0,9044689.0,569537.0,8146.0,196239.0,30511.0,810.0,0,-60,0.0
47,48,6986,11305.0,162.0,618685.0,38506.0,295.0,10819.0,1710.0,52,157354.0,304148.0,5392.0,10287104.0,978674.0,14430.0,266888.0,42893.0,2084.0,10,-69,0.0
48,49,5772,13093.0,205.0,497440.0,45956.0,388.0,9690.0,1680.0,75,103772.0,217248.0,3864.0,6697140.0,712945.0,10835.0,185041.0,29861.0,1428.0,10,-69,0.0
49,50,3879,9891.0,156.0,342390.0,35950.0,310.0,6955.0,1211.0,58,71093.0,137010.0,2400.0,4622904.0,460706.0,6828.0,122531.0,19756.0,886.0,0,-60,0.0
50,51,4327,12229.0,172.0,400147.0,48143.0,369.0,8532.0,1387.0,72,114898.0,150609.0,2498.0,7750297.0,592818.0,8248.0,167640.0,27417.0,956.0,10,-69,0.0
51,52,4150,7049.0,107.0,368910.0,30010.0,240.0,6205.0,1100.0,40,78823.0,132859.0,2295.0,5232187.0,539619.0,7828.0,123263.0,21073.0,824.0,10,-69,0.0
52,53,2929,5947.0,91.0,268805.0,26557.0,221.0,4608.0,847.0,33,56408.0,88370.0,1549.0,3773337.0,363852.0,5122.0,85820.0,14723.0,548.0,10,-69,0.0
53,54,2093,4083.0,65.0,196289.0,18667.0,149.0,3229.0,598.0,24,43359.0,57728.0,1006.0,2931311.0,245877.0,3347.0,62738.0,10778.0,377.0,10,-69,0.0
54,55,1598,2688.0,44.0,152106.0,12666.0,102.0,2347.0,438.0,18,35624.0,39375.0,666.0,2446189.0,173449.0,2227.0,48816.0,8145.0,260.0,0,-50,0.0
55,56,1989,3407.0,52.0,199856.0,17577.0,124.0,3122.0,541.0,26,81055.0,50471.0,811.0,5672773.0,257201.0,3393.0,97718.0,15765.0,356.0,0,-60,0.0
