bio10_5,bio10_prMay,lat,lon,lambda,N
-0.887740483,-2.278795536,3012880.134,2075535.591,0.849212784,0
-0.888806959,-2.141035632,3012880.134,2078535.591,0.834543728,0
-0.882524153,-2.176968352,3012880.134,2081535.591,0.840897709,0
-0.88472895,-2.243478854,3012880.134,2084535.591,0.843940615,0
-1.046810708,-2.194510613,3009880.134,2069535.591,0.803801126,1
-1.069713606,-1.683883399,3009880.134,2072535.591,0.784263519,0
-1.16456723,-1.469388789,3009880.134,2075535.591,0.781983447,0
-1.226734388,-1.199429274,3009880.134,2078535.591,0.781740119,0
-1.168710535,-1.534906963,3009880.134,2081535.591,0.782081146,0
-1.03695089,-2.002943218,3009880.134,2084535.591,0.794306503,0
-0.871177453,-2.288432934,3009880.134,2087535.591,0.861777234,0
-0.852551583,-2.056429221,3009880.134,2090535.591,0.82479188,0
-1.248058721,-0.609884999,3006880.134,2072535.591,0.781714655,0
-1.338775508,-0.490778931,3006880.134,2075535.591,0.781714357,0
-1.370143187,-0.380585745,3006880.134,2078535.591,0.781714313,0
-1.239699372,-1.133751069,3006880.134,2081535.591,0.781730005,0
-1.059204903,-1.774726518,3006880.134,2084535.591,0.785333636,0
-1.130073612,-1.082556024,3006880.134,2087535.591,0.78174623,0
-1.004047646,-1.771737518,3006880.134,2090535.591,0.787238507,0
-0.843989108,-2.172399003,3006880.134,2093535.591,0.850675489,0
-0.842365381,-1.951009099,3006880.134,2096535.591,0.812902088,0
-1.144131181,-1.206145691,3003880.134,2006535.591,0.781776244,0
-1.008474238,-1.721617542,3003880.134,2009535.591,0.786346958,0
-1.061653919,-1.272404079,3003880.134,2012535.591,0.78194969,0
-0.943730732,-1.896451419,3003880.134,2015535.591,0.795915616,0
-1.028541531,-1.403087755,3003880.134,2072535.591,0.782288062,0
-1.133660641,-1.131983616,3003880.134,2075535.591,0.781759029,0
-1.1240037,-1.232442476,3003880.134,2078535.591,0.781798697,0
-1.056685943,-1.496029037,3003880.134,2081535.591,0.782533629,0
-1.09041655,-1.270833709,3003880.134,2084535.591,0.781873348,1
-1.141528577,-0.9187895,3003880.134,2087535.591,0.781723785,0
-1.082284233,-1.489684138,3003880.134,2090535.591,0.782343504,0
-1.061517796,-1.38683043,3003880.134,2093535.591,0.782132833,0
-1.134134676,-1.008225711,3003880.134,2096535.591,0.781731924,0
-0.894070969,-1.969678213,3003880.134,2099535.591,0.809604787,0
-0.862161445,-1.762041195,3003880.134,2102535.591,0.795524263,0
-1.187251748,-1.845205121,3000880.134,2003535.591,0.783422912,0
-1.265087797,-1.14850502,3000880.134,2006535.591,0.78172877,0
-1.21248905,-1.329235382,3000880.134,2009535.591,0.781783284,0
-1.200999834,-1.017605661,3000880.134,2012535.591,0.781723885,0
-1.094782521,-1.724852928,3000880.134,2015535.591,0.783957155,0
-0.922959826,-2.163690417,3000880.134,2018535.591,0.822840971,0
-0.919871908,-2.04362891,3000880.134,2060535.591,0.809272758,0
-0.967655828,-1.92953481,3000880.134,2063535.591,0.796554417,0
-0.997207536,-1.885166538,3000880.134,2066535.591,0.791169812,0
-0.996574761,-2.018904686,3000880.134,2069535.591,0.798898816,0
-1.095175388,-1.613447168,3000880.134,2072535.591,0.782859619,0
-1.076501307,-1.665369558,3000880.134,2075535.591,0.783566699,0
-0.974320579,-1.99951005,3000880.134,2078535.591,0.80099158,0
-0.944848566,-1.838639417,3000880.134,2081535.591,0.79385366,0
-1.086534664,-0.795770889,3000880.134,2084535.591,0.781722131,0
-1.147090494,-0.579402406,3000880.134,2087535.591,0.781715141,0
-1.169972483,-0.770264016,3000880.134,2090535.591,0.78171692,0
-1.258158891,-0.713955088,3000880.134,2093535.591,0.781714982,0
-1.040329554,-1.561121698,3000880.134,2096535.591,0.782995444,0
-1.024124218,-1.236997453,3000880.134,2099535.591,0.781970835,0
-1.025519809,-1.100390923,3000880.134,2102535.591,0.78183195,0
-0.906618313,-1.717661848,3000880.134,2105535.591,0.789434266,0
-1.384783072,-1.341334259,2997880.134,2003535.591,0.781728764,0
-1.258277913,-1.625667573,2997880.134,2006535.591,0.782019526,0
-1.152702476,-1.437746356,2997880.134,2009535.591,0.781949326,0
-1.395865754,-0.293143422,2997880.134,2012535.591,0.781714299,0
-1.335911648,-1.258711608,2997880.134,2015535.591,0.781727854,0
-1.033503073,-2.051414019,2997880.134,2018535.591,0.798723829,0
-0.8897903,-1.959689498,2997880.134,2057535.591,0.807048298,0
-1.222475225,-0.464664739,2997880.134,2060535.591,0.781714481,0
-1.370556882,-0.431326582,2997880.134,2063535.591,0.781714321,0
-1.297375925,-0.692540625,2997880.134,2066535.591,0.781714748,0
-1.242702303,-1.178424028,2997880.134,2069535.591,0.781733987,0
-1.146610332,-1.497274049,2997880.134,2072535.591,0.782079765,0
-1.115062393,-1.197393835,2997880.134,2075535.591,0.781801601,0
-1.011569074,-1.601861571,2997880.134,2078535.591,0.784003458,0
-0.945413591,-1.774128288,2997880.134,2081535.591,0.790865932,0
-0.919367083,-1.80670772,2997880.134,2084535.591,0.794730338,0
-1.016319011,-1.082879257,2997880.134,2087535.591,0.781805235,0
-1.208488808,-0.43990157,2997880.134,2090535.591,0.78171445,0
-1.077001177,-1.378207178,2997880.134,2093535.591,0.782056654,0
-0.98545988,-1.885928116,2997880.134,2096535.591,0.792451246,0
-0.931057979,-1.918018707,2997880.134,2099535.591,0.800005146,0
-1.021717877,-1.303758096,2997880.134,2102535.591,0.782057506,0
-0.973130667,-1.660652556,2997880.134,2105535.591,0.786147901,0
-0.891178729,-1.821087793,2997880.134,2108535.591,0.795127645,0
-1.571107864,-0.848510212,2994880.134,2003535.591,0.781714357,0
-1.339641685,-1.524844803,2994880.134,2006535.591,0.781793035,0
-1.220246317,-1.067146317,2994880.134,2009535.591,0.781726507,0
-1.526541562,0.138297981,2994880.134,2012535.591,0.781714287,0
-1.430141473,-1.012906266,2994880.134,2015535.591,0.781715246,0
-1.226929042,-1.580997747,2994880.134,2018535.591,0.782006625,0
-0.888317013,-1.81942404,2994880.134,2057535.591,0.798522081,0
-1.194605097,-0.445664337,2994880.134,2060535.591,0.781714505,0
-1.176215901,-0.84973499,2994880.134,2063535.591,0.781718448,0
-1.220095123,-0.769480882,2994880.134,2066535.591,0.781715905,0
-1.237287348,-1.075747127,2994880.134,2069535.591,0.781725034,0
-1.083329306,-1.753850767,2994880.134,2072535.591,0.784543719,0
-0.961736714,-1.808698123,2994880.134,2075535.591,0.79097832,0
-0.962302085,-1.579976472,2994880.134,2078535.591,0.784445282,0
-0.993615344,-1.234233715,2994880.134,2081535.591,0.782018609,0
-0.947431312,-1.678517107,2994880.134,2084535.591,0.787224329,0
-0.965171238,-1.460434028,2994880.134,2087535.591,0.783243235,0
-1.022822954,-1.535139526,2994880.134,2090535.591,0.783060596,0
-1.105110383,-1.148977485,2994880.134,2093535.591,0.78177387,0
-1.064097768,-1.445532623,2994880.134,2096535.591,0.782280819,0
-1.108671584,-1.050590475,2994880.134,2099535.591,0.781746045,0
